source	name	host	bias	factuality	country	detail
asheepnomore.net	a sheep no more	https://asheepnomore.net	conspiracy-pseudoscience	low	unknown or invalid region	https://mediabiasfactcheck.com/a-sheep-no-more/
avoiceformen.com	a voice for men	https://www.avoiceformen.com	questionable sources	low	united states	https://mediabiasfactcheck.com/a-voice-for-men/
abcnews.go.com	abc news	https://abcnews.go.com	left-center	high	united states	https://mediabiasfactcheck.com/abc-news/
abc.net.au	abc news australia	https://www.abc.net.au	left-center	high	australia	https://mediabiasfactcheck.com/abc-news-australia/
abc11.com	abc11 eyewitness news	https://abc11.com	left-center	high	united states	https://mediabiasfactcheck.com/abc11-eyewitness-news/
abc12.com	abc12/wjrt-tv	https://abc12.com	least biased	high	united states	https://mediabiasfactcheck.com/abc12-news-wjrt/
ABC7chicago.com	abc7chicago.com	https://ABC7chicago.com	least biased	high	united states	https://mediabiasfactcheck.com/abc7chicago-com/
abcnews-us.com	abcnews-us.com	https://www.abcnews-us.com	questionable sources	very low	unknown or invalid region	https://mediabiasfactcheck.com/abcnews-us-com/
abeldanger.org	abel danger	https://www.abeldanger.org	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/abel-danger/
abovethelaw.com	above the law	https://abovethelaw.com	left-center	high	united states	https://mediabiasfactcheck.com/above-the-law/
abovetopsecret.com	above top secret	https://www.abovetopsecret.com	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/above-top-secret/
abriluno.com	abril uno	https://abriluno.com	satire		united states	https://mediabiasfactcheck.com/abril-uno/
news.abs-cbn.com	abs-cbn	https://news.abs-cbn.com	least biased	high	philippines	https://mediabiasfactcheck.com/abs-cbn-news/
acculturated.com	acculturated	https://acculturated.com	right	mostly factual	united states	https://mediabiasfactcheck.com/acculturated/
academia.org	accuracy in academia (aia)	https://www.academia.org	right	mixed	united states	https://mediabiasfactcheck.com/accuracy-in-academia-aia/
aim.org	accuracy in media	https://www.aim.org	right	mixed	united states	https://mediabiasfactcheck.com/accuracy-in-media-aim/
aceflashman.wordpress.com	ace flashman	https://aceflashman.wordpress.com	satire		united states	https://mediabiasfactcheck.com/ace-flashman/
aceshowbiz.com	aceshowbiz (asb)	https://aceshowbiz.com	left-center	mixed	unknown or invalid region	https://mediabiasfactcheck.com/aceshowbiz-asb/
achnews.org	achnews	https://achnews.org	left	mostly factual	united states	https://mediabiasfactcheck.com/achnews/
aclu.org	aclu	https://www.aclu.org	left-center	mixed	united states	https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/
latitudes.org	acn latitudes	https://latitudes.org	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/acn-latitudes/
act.tv	act.tv	https://act.tv	left	mostly factual	united states	https://mediabiasfactcheck.com/act-tv/
acting-man.com	acting man	https://www.acting-man.com	right	mixed	united states	https://mediabiasfactcheck.com/acting-man/
activistmommy.com	activist mommy	https://activistmommy.com	questionable sources	low	united states	https://mediabiasfactcheck.com/activist-mommy/
activistpost.com	activist post	https://www.activistpost.com	conspiracy-pseudoscience	low	unknown or invalid region	https://mediabiasfactcheck.com/activist-post/
adfontesmedia.com	ad fontes media	https://adfontesmedia.com	least biased	high	united states	https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/
addictinginfo.com	addicting info	https://addictinginfo.com	left	mixed	united states	https://mediabiasfactcheck.com/addicting-info/
adobochronicles.com	adobo chronicles	https://adobochronicles.com	satire		united states	https://mediabiasfactcheck.com/the-adobo-chronicles/
theadvocates.org	advocates for self-government	https://theadvocates.org	right-center	mostly factual	united states	https://mediabiasfactcheck.com/advocates-for-self-government/
awdnews.com	adw news	https://awdnews.com	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/adw-news/
aeon.co	aeon	https://aeon.co	left-center	high	united kingdom	https://mediabiasfactcheck.com/aeon/
affinitymagazine.us	affinity magazine	https://affinitymagazine.us	left-center	high	united states	https://mediabiasfactcheck.com/affinity-magazine/
africacheck.org	africa check	https://africacheck.org	least biased	very high	south africa	https://mediabiasfactcheck.com/africa-check/
africanews.com	africa news	https://www.africanews.com	least biased	high	congo - brazzaville	https://mediabiasfactcheck.com/africa-news/
africanarguments.org	african arguments	https://africanarguments.org	left-center	high	united kingdom	https://mediabiasfactcheck.com/african-arguments/
ac2news.com	against crony capitalism	https://www.ac2news.com	right	high	united states	https://mediabiasfactcheck.com/against-crony-capitialism/
ageofautism.com	age of autism	https://www.ageofautism.com	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/age-of-autism/
ageofshitlords.com	age of shitlords	https://ageofshitlords.com	questionable sources	low	united states	https://mediabiasfactcheck.com/age-of-shitlords/
afp.com	agence france-presse (afp)	https://www.afp.com	least biased	high	france	https://mediabiasfactcheck.com/afp-agence-france-presse/
ansa.it	agenzia nazionale stampa associata (ansa)	https://http://www.ansa.it	least biased	high	italy	https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/
agerpres.ro	agerpres	https://www.agerpres.ro	least biased	high	romania	https://mediabiasfactcheck.com/agerpres/
agweb.com	agweb	https://agweb.com	least biased	high	united states	https://mediabiasfactcheck.com/agweb/
english.ahram.org.eg	ahram online	https://english.ahram.org.eg	right-center	mixed	egypt	https://mediabiasfactcheck.com/ahram-online/
ahvalnews.com	ahval news	https://ahvalnews.com	left-center	mixed	cyprus	https://mediabiasfactcheck.com/ahval-news/
airspacemag.com	air and space mag	https://www.airspacemag.com	pro-science	very high	united states	https://mediabiasfactcheck.com/air-space-magazine/
airwars.org	airwars	https://airwars.org	least biased	high	united states	https://mediabiasfactcheck.com/airwars/
ajuanews.com	ajuanews.com	https://ajuanews.com	questionable sources	very low	unknown or invalid region	https://mediabiasfactcheck.com/ajuanews-com/
akkadiantimes.com	akkadian times	https://akkadiantimes.com	left	high	united states	https://mediabiasfactcheck.com/akkadian-times/
beaconjournal.com/	akron beacon journal	https://beaconjournal.com/	left-center	high	united states	https://mediabiasfactcheck.com/akron-beacon-journal/
english.alarabiya.net	al arabiya	https://english.alarabiya.net	questionable sources	mixed	saudi arabia	https://mediabiasfactcheck.com/al-arabiya/
albawaba.com	al bawaba	https://albawaba.com	questionable sources	mixed	jordan	https://mediabiasfactcheck.com/al-bawaba/
aljazeera.com	al jazeera	https://www.aljazeera.com	left-center	mixed	qatar	https://mediabiasfactcheck.com/al-jazeera/
al-monitor.com	al monitor	https://www.al-monitor.com	left-center	high	united states	https://mediabiasfactcheck.com/al-monitor/
alhayat.com	al-hayat	https://alhayat.com	questionable sources	mixed	united arab emirates	https://mediabiasfactcheck.com/al-hayat/
almasdarnews.com	al-masdar news	https://www.almasdarnews.com	left-center	mixed	lebanon	https://mediabiasfactcheck.com/al-masdar-news-amn/
al-sura.com	al-sura	https://al-sura.com	left-center	mixed	united states	https://mediabiasfactcheck.com/al-sura/
al.com	al.com (alabama news)	https://www.al.com	right-center	high	united states	https://mediabiasfactcheck.com/al-com-alabama-news/
alreporter.com	alabama political reporter	https://www.alreporter.com	least biased	high	united states	https://mediabiasfactcheck.com/alabama-political-reporter/
altoday.com	alabama today	https://altoday.com	least biased	high	united states	https://mediabiasfactcheck.com/alabama-today/
guttmacher.org	alan guttmacher institute	https://www.guttmacher.org	left-center	high	united states	https://mediabiasfactcheck.com/alan-guttmacher-institute/
adn.com	alaska dispatch news	https://www.adn.com	left-center	high	united states	https://mediabiasfactcheck.com/alaska-dispatch-news/
democratherald.com	albany democrat-herald	https://democratherald.com	least biased	high	united states	https://mediabiasfactcheck.com/albany-democrat-herald/
timesunion.com	albany times-union	https://www.timesunion.com	left-center	high	united states	https://mediabiasfactcheck.com/albany-times-union/
albertaviews.ca	alberta views	https://https://albertaviews.ca	left-center	high	canada	https://mediabiasfactcheck.com/alberta-views-bias/
abqjournal.com	albuquerque journal	https://www.abqjournal.com	right-center	high	united states	https://mediabiasfactcheck.com/albuquerque-journal/
ad.nl	algemeen dagblad	https://ad.nl	least biased	high	netherlands	https://mediabiasfactcheck.com/algemeen-dagblad/
allnewspipeline.com	all news pipeline	https://allnewspipeline.com	questionable sources	low	united states	https://mediabiasfactcheck.com/all-news-pipeline/
allthatsfab.com	all that's fab	https://www.allthatsfab.com	left	mixed	united states	https://mediabiasfactcheck.com/all-thats-fab/
allenwestrepublic.com	allen west republic	https://allenwestrepublic.com	questionable sources	low	united states	https://mediabiasfactcheck.com/allen-west-republic/
allgov.com	allgov	https://www.allgov.com	left-center	high	united states	https://mediabiasfactcheck.com/allgov/
adflegal.org	alliance defending freedom	https://www.adflegal.org	questionable sources	low	united states	https://mediabiasfactcheck.com/alliance-defending-freedom/
allianceforadvancedhealth.com	alliance for advanced health	https://allianceforadvancedhealth.com	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/alliance-advanced-health/
afj.org	alliance for justice (afj)	https://www.afj.org	left	high	united states	https://mediabiasfactcheck.com/alliance-for-justice-afj/
anh-usa.org	alliance for natural health (anh-usa)	https://https://anh-usa.org	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/
securingdemocracy.gmfus.org	alliance for securing democracy	https://securingdemocracy.gmfus.org	least biased	high	united states	https://mediabiasfactcheck.com/alliance-securing-democracy/
alliedprogress.org	allied progress	https://alliedprogress.org	left-center	high	united states	https://mediabiasfactcheck.com/allied-progress/
alphanewsmn.com	alpha news	https://alphanewsmn.com	questionable sources	low	united states	https://mediabiasfactcheck.com/alpha-news/
alt-market.com	alt-market	https://www.alt-market.com	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/alt-market/
alternativelyfacts.com	alternative facts	https://http://www.alternativelyfacts.com	satire		united states	https://mediabiasfactcheck.com/alternative-facts/
amtvmedia.com	alternative media television (amtv)	https://www.amtvmedia.com	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/alternative-media-television-amtv/
alternativenewsnetwork.net	alternative news network	https://www.alternativenewsnetwork.net	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/alternative-news-network/
alternative-science.com	alternative science	https://alternative-science.com	satire		united states	https://mediabiasfactcheck.com/alternative-science/
alternativenews.com	alternativenews.com	https://alternativenews.com	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/alternativenews-com/
alternet.org	alternet	https://www.alternet.org	left	mixed	united states	https://mediabiasfactcheck.com/alternet/
althealthworks.com	althealth works	https://althealthworks.com	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/althealth-works/
altnewsmedia.net	altnewsmedia.net	https://altnewsmedia.net	right	mixed	italy	https://mediabiasfactcheck.com/altnewsmedia-net/
amny.com	am new york	https://www.amny.com	left-center	high	united states	https://mediabiasfactcheck.com/am-new-york/
amac.us/	amac (association of mature american citizens)	https://https://amac.us/	right	mixed	united states	https://mediabiasfactcheck.com/amac-association-of-mature-american-citizens/
aidc.org.za	amandla	https://aidc.org.za	left	high	south africa	https://mediabiasfactcheck.com/amandla/
amarillo.com	amarillo globe-news	https://www.amarillo.com	least biased	high	united states	https://mediabiasfactcheck.com/amarillo-globe-news/
amazingnews.net	amazingnews.net	https://www.amazingnews.net	questionable sources	low	unknown or invalid region	https://mediabiasfactcheck.com/amazingnews-net/
americablog.com	america blog	https://americablog.com	left	high	united states	https://mediabiasfactcheck.com/americablog/
americadaily.com	america daily	https://americadaily.com	questionable sources	mixed	united states	https://mediabiasfactcheck.com/america-daily/
americamagazine.org	america magazine	https://www.americamagazine.org	left-center	high	united states	https://mediabiasfactcheck.com/america-magazine/
americarisingpac.org/	america rising pac	https://https://americarisingpac.org/	right	mixed	united states	https://mediabiasfactcheck.com/america-rising-pac/
americatalks.com	america talks with david zublick	https://https://americatalks.com	questionable sources	very low	united states	https://mediabiasfactcheck.com/america-talks-with-david-zublick-bias-credibility-rating/
americasfrontlinedoctors.com	america's frontline doctors	https://americasfrontlinedoctors.com	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/americas-frontline-doctors/
americasnewssource.com	america's news source	https://americasnewssource.com	questionable sources	very low	unknown or invalid region	https://mediabiasfactcheck.com/americas-news-source/
americasvoice.org	america's voice	https://americasvoice.org	left	mostly factual	united states	https://mediabiasfactcheck.com/americas-voice/
aap.org	american academy of pediatrics	https://www.aap.org	pro-science	very high	united states	https://mediabiasfactcheck.com/american-academy-of-pediatrics/
americanactionforum.org	american action forum	https://www.americanactionforum.org	right-center	mostly factual	united states	https://mediabiasfactcheck.com/american-action-forum/
americanactionnews.com	american action news	https://americanactionnews.com	questionable sources	mixed	united states	https://mediabiasfactcheck.com/american-action-news/
americanaffairsjournal.org	american affairs journal	https://americanaffairsjournal.org	right-center	high	united states	https://mediabiasfactcheck.com/american-affairs-journal/
aaas.org	american association for the advancement of science.	https://www.aaas.org	pro-science	very high	united states	https://mediabiasfactcheck.com/american-association-for-the-advancement-of-science-aaas/
americanbridgepac.org	american bridge 21st century	https://americanbridgepac.org	left	mixed	united states	https://mediabiasfactcheck.com/american-bridge-21st-century/
aclj.org	american center for law & justice (aclj)	https://aclj.org	right	mixed	united states	https://mediabiasfactcheck.com/american-center-law-justice-aclj/
acpeds.org	american college of pediatricians	https://www.acpeds.org	questionable sources	mixed	united states	https://mediabiasfactcheck.com/american-college-of-pediatricians/
americanconsequences.com	american consequences	https://americanconsequences.com	right	mixed	united states	https://mediabiasfactcheck.com/american-consequences/
americanconservativemedia.com	american conservative media	https://americanconservativemedia.com	questionable sources	mixed	united states	https://mediabiasfactcheck.com/american-conservative-media/
acsh.org	american council on science and health (acsh)	https://acsh.org	right-center	high	united states	https://mediabiasfactcheck.com/american-council-on-science-and-health/
americandigitalnews.com	american digital news	https://americandigitalnews.com	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/american-digital-news/
aei.org	american enterprise institute	https://www.aei.org	right	mixed	united states	https://mediabiasfactcheck.com/american-enterprise-institute/
afa.net	american family association	https://www.afa.net	questionable sources	low	united states	https://mediabiasfactcheck.com/american-family-association/
americanfirearms.org	american firearms institute	https://www.americanfirearms.org	right-center	high	united states	https://mediabiasfactcheck.com/american-firearms-institute/
americanflavor.news	american flavor news	https://americanflavor.news	questionable sources	very low	unknown or invalid region	https://mediabiasfactcheck.com/american-flavor/
americansforprosperity.org	american for prosperity	https://americansforprosperity.org	right	mixed	united states	https://mediabiasfactcheck.com/americans-for-prosperity/
afpc.org	american foreign policy council	https://www.afpc.org	right	mostly factual	united states	https://mediabiasfactcheck.com/american-foreign-policy-council/
americanfreepress.net	american free press	https://americanfreepress.net	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/american-free-press/
sites.agu.org	american geophysical union (agu)	https://sites.agu.org	pro-science	very high	united states	https://mediabiasfactcheck.com/american-geophysical-union-agu/
amgreatness.com	american greatness	https://amgreatness.com	right	mixed	united states	https://mediabiasfactcheck.com/american-greatness/
ahtribune.com	american herald tribune	https://ahtribune.com	conspiracy-pseudoscience	mixed	unknown or invalid region	https://mediabiasfactcheck.com/american-herald-tribune/
americanheritage.com	american heritage	https://www.americanheritage.com	least biased	high	united states	https://mediabiasfactcheck.com/american-heritage/
americanimmigrationcouncil.org	american immigration council	https://www.americanimmigrationcouncil.org	left-center	high	united states	https://mediabiasfactcheck.com/american-immigration-council/
aier.org	american institute for economic research	https://aier.org	right-center	high	united states	https://mediabiasfactcheck.com/american-institute-for-economic-research/
aim4truth.org	american intelligence media	https://aim4truth.org	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/american-intelligence-media/
americanintelligencereport.com	american intelligence report	https://americanintelligencereport.com	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/american-intelligence-report/
ajaonline.org	american journal of archaeology	https://www.ajaonline.org	pro-science	very high	united states	https://mediabiasfactcheck.com/american-journal-of-archaeology/
americanjournalreview.com	american journal review	https://www.americanjournalreview.com	questionable sources	low	united states	https://mediabiasfactcheck.com/american-journal-review/
alec.org	american legislative exchange council (alec)	https://www.alec.org	right	mixed	united states	https://mediabiasfactcheck.com/american-legislative-exchange-council-alec/
americanlibertyreport.com	american liberty report	https://www.americanlibertyreport.com	right	mixed	united states	https://mediabiasfactcheck.com/american-liberty-report/
americanlookout.com	american lookout	https://americanlookout.com	questionable sources	low	united states	https://mediabiasfactcheck.com/american-lookout/
ama-assn.org	american medical association (ama)	https://ama-assn.org	pro-science	high	united states	https://mediabiasfactcheck.com/american-medical-association-ama/
americanmilitarynews.com	american military news	https://americanmilitarynews.com	least biased	mostly factual	united states	https://mediabiasfactcheck.com/american-military-news/
americandailynews.org	american news 24/7	https://www.americandailynews.org	right	mixed	united states	https://mediabiasfactcheck.com/american-news-24-7/
americanpatriotdaily.com	american patriot daily	https://www.americanpatriotdaily.com	questionable sources	mixed		https://mediabiasfactcheck.com/american-patriot-daily/
americanpeoplenetwork.com	american people network	https://americanpeoplenetwork.com	questionable sources	very low	macedonia	https://mediabiasfactcheck.com/american-people-network/
aps.org	american physical society (aps)	https://www.aps.org	pro-science	very high	united states	https://mediabiasfactcheck.com/american-physical-society-aps/
americanpressinstitute.org	american press institute (api)	https://www.americanpressinstitute.org	least biased	very high	united states	https://mediabiasfactcheck.com/american-press-institute-api/
americanprides.org	american prides	https://www.americanprides.org	questionable sources	low	india	https://mediabiasfactcheck.com/american-prides/
americanprinciplesproject.org	american principles project	https://americanprinciplesproject.org	questionable sources	low	united states	https://mediabiasfactcheck.com/american-principles-project/
apsa.org	american psychoanalytic association	https://www.apsa.org	pro-science	very high	united states	https://mediabiasfactcheck.com/american-psychoanalytic-association/
apa.org	american psychological association	https://https://www.apa.org	pro-science	very high	united states	https://mediabiasfactcheck.com/american-psychological-association-apa/
americanpublicmedia.org	american public media	https://americanpublicmedia.org	left-center	high	united states	https://mediabiasfactcheck.com/american-public-media/
amren.com	american renaissance magazine	https://www.amren.com	questionable sources	low	united states	https://mediabiasfactcheck.com/american-renaissance-magazine/
americanscientist.org	american scientist	https://www.americanscientist.org	pro-science	very high	united states	https://mediabiasfactcheck.com/american-scientist/
tfp.org	american society for the defense of tradition, family, and property	https://www.tfp.org	questionable sources	low	united states	https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/
spectator.org	american spectator	https://spectator.org	right	mixed	united states	https://mediabiasfactcheck.com/american-spectator/
americanthinker.com	american thinker	https://www.americanthinker.com	questionable sources	low	united states	https://mediabiasfactcheck.com/american-thinker/
americantoday.news	american today	https://americantoday.news	questionable sources	low	united states	https://mediabiasfactcheck.com/american-today/
americantruthseekers.com	american truth seekers	https://americantruthseekers.com	questionable sources	low	unknown or invalid region	https://mediabiasfactcheck.com/american-truth-seekers/
americantruthtoday.com	american truth today	https://americantruthtoday.com	questionable sources	low	united states	https://mediabiasfactcheck.com/american-truth-today/
americanupdater.com	american updater	https://americanupdater.com	questionable sources	low	macedonia	https://mediabiasfactcheck.com/american-updater/
awm.com	american web media (awm)	https://awm.com	questionable sources	mixed	united states	https://mediabiasfactcheck.com/american-web-media-awm/
aattp.org	americans against the tea party (aattp)	https://aattp.org	questionable sources	low	united states	https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/
americansarepissed.com	americans are pissed	https://americansarepissed.com	questionable sources	low	unknown or invalid region	https://mediabiasfactcheck.com/americans-are-pissed/
americansfortruth.com	americans for truth	https://https://americansfortruth.com	questionable sources	very low	united states	https://mediabiasfactcheck.com/americans-for-truth-aftah/
au.org	americans united for separation of church and state	https://www.au.org	left	high	united states	https://mediabiasfactcheck.com/american-united-separation-church-state/
americasfreedomfighters.com	americas freedom fighters	https://www.americasfreedomfighters.com	questionable sources	very low	unknown or invalid region	https://mediabiasfactcheck.com/american-freedom-fighters/
americasquarterly.org	americas quarterly	https://www.americasquarterly.org	right-center	high	united states	https://mediabiasfactcheck.com/americas-quarterly/
amimagazine.org	ami magazine	https://amimagazine.org	right	mostly factual	united states	https://mediabiasfactcheck.com/ami-magazine/
ammoland.com	ammoland	https://www.ammoland.com	right	mostly factual	united states	https://mediabiasfactcheck.com/ammoland/
amnesty.org	amnesty international	https://www.amnesty.org	left-center	high	united kingdom	https://mediabiasfactcheck.com/amnesty-international/
news.amomama.com	amomama	https://news.amomama.com	least biased	mostly factual	cyprus	https://mediabiasfactcheck.com/amomama/
amplifyingglass.com	amplifying glass	https://www.amplifyingglass.com	satire		unknown or invalid region	https://mediabiasfactcheck.com/amplifying-glass/
aa.com.tr	anadolu agency	https://www.aa.com.tr	right	mixed	turkey	https://mediabiasfactcheck.com/anadolu-agency/
analyzingamerica.org	analyzing america	https://analyzingamerica.org	questionable sources	mixed	united states	https://mediabiasfactcheck.com/analyzing-america/
adn.com	anchorage daily news	https://adn.com	left-center	high	united states	https://mediabiasfactcheck.com/anchorage-daily-news/
ancient-code.com	ancient code	https://www.ancient-code.com	conspiracy-pseudoscience	mixed	unknown or invalid region	https://mediabiasfactcheck.com/ancient-code/
ancient-origins.net	ancient origins	https://www.ancient-origins.net	conspiracy-pseudoscience	mixed	ireland	https://mediabiasfactcheck.com/ancient-origins/
independentmail.com	anderson independent mail	https://independentmail.com	least biased	high	united states	https://mediabiasfactcheck.com/anderson-independent-mail/
anews-24.com	anews-24 (american news)	https://anews-24.com	questionable sources	very low	macedonia	https://mediabiasfactcheck.com/anews-24-com-american-news/
angrywhitemen.org	angry white men	https://angrywhitemen.org	left	high	united states	https://mediabiasfactcheck.com/angry-white-men/
annistonstar.com	anniston star	https://www.annistonstar.com	left-center	high	united states	https://mediabiasfactcheck.com/anniston-star/
anonews.co	anonymous	https://www.anonews.co	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/anonymous/
answersingenesis.org	answers in genesis	https://answersingenesis.org	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/answers-in-genesis/
anthropocenemagazine.org	anthropocene magazine	https://www.anthropocenemagazine.org	left-center	high	united states	https://mediabiasfactcheck.com/conservation-magazine/
adl.org	anti-defamation league (adl)	https://www.adl.org	left-center	high	united states	https://mediabiasfactcheck.com/anti-defamation-league/
antifascistnews.net	anti-fascist news	https://antifascistnews.net	left	high	united states	https://mediabiasfactcheck.com/anti-fascist-news/
antiwar.com	anti-war	https://antiwar.com	right-center	mixed	united states	https://mediabiasfactcheck.com/anti-war/
americannewsx.com	anx news (american news x)	https://americannewsx.com	left	mixed	united states	https://mediabiasfactcheck.com/american-news-x/
adaa.org/	anxiety and depression association of america (adaa)	https://adaa.org/	pro-science	very high	united states	https://mediabiasfactcheck.com/anxiety-and-depression-association-of-america-adaa/
aol.com	aol	https://www.aol.com	left-center	high	united states	https://mediabiasfactcheck.com/aol/
apmreports.org	apm reports	https://www.apmreports.org	left-center	high	united states	https://mediabiasfactcheck.com/apm-reports/
apost.com	apost.com	https://apost.com	conspiracy-pseudoscience	mixed	germany	https://mediabiasfactcheck.com/apost-com/
aranews.net	ara news	https://aranews.net	left-center	high	syria	https://mediabiasfactcheck.com/ara-news/
arabnews.com	arab news	https://arabnews.com	questionable sources	mixed	saudi arabia	https://mediabiasfactcheck.com/arab-news/
arcdigital.media	arc digital	https://arcdigital.media	least biased	high	united states	https://mediabiasfactcheck.com/arc-digital/
arcamax.com	arcamax	https://arcamax.com	right-center	mostly factual	united states	https://mediabiasfactcheck.com/arcamax/
archaeology.org	archaelogy magazine	https://www.archaeology.org	pro-science	very high	united states	https://mediabiasfactcheck.com/archaeology-magazine/
archaeology-world.com	archaeology world	https://archaeology-world.com	questionable sources	mixed	unknown or invalid region	https://mediabiasfactcheck.com/archaeology-world/
ae911truth.org	architects & engineers for 9/11 truth	https://www.ae911truth.org	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/
azcapitoltimes.com	arizona capitol times	https://azcapitoltimes.com	least biased	high	united states	https://mediabiasfactcheck.com/arizona-capitol-times/
arizonadailyindependent.com	arizona daily independent	https://arizonadailyindependent.com	right	mixed	united states	https://mediabiasfactcheck.com/arizona-daily-independent/
tucson.com	arizona daily star	https://tucson.com	left-center	high	united states	https://mediabiasfactcheck.com/arizona-daily-star/
azdailysun.com	arizona daily sun	https://azdailysun.com	left-center	high	united states	https://mediabiasfactcheck.com/arizona-daily-sun/
azcentral.com	arizona republic	https://www.azcentral.com	left-center	high	united states	https://mediabiasfactcheck.com/arizona-republic/
arkansasonline.com	arkansas democrat-gazette	https://www.arkansasonline.com	right-center	high	united states	https://mediabiasfactcheck.com/arkansas-democrat-gazette/
arktimes.com	arkansas times	https://www.arktimes.com	left-center	high	united states	https://mediabiasfactcheck.com/arkansas-times/
armscontrol.org	arms control association	https://https://www.armscontrol.org	left-center	high	united states	https://mediabiasfactcheck.com/arms-control-association/
armstrongeconomics.com	armstrong economics	https://www.armstrongeconomics.com	right	mixed	united states	https://mediabiasfactcheck.com/armstrong-economics/
arstechnica.com	ars technica	https://arstechnica.com	least biased	high	united states	https://mediabiasfactcheck.com/ars-technica/
arte.tv	arte	https://arte.tv	left-center	mostly factual	france	https://mediabiasfactcheck.com/arte/
israelnationalnews.com	arutz sheva (israel national news)	https://www.israelnationalnews.com	right-center	high	israel	https://mediabiasfactcheck.com/arutz-sheva-israel-national-news/
asamericanasapplepie.org	as american as apple pie	https://asamericanasapplepie.org	satire		united states	https://mediabiasfactcheck.com/american-apple-pie/
